ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1430777316.6015,dbt2,39037,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.328219+01,,2015-05-04 23:08:36.569495+01,f,COMMIT,idle,2015-05-04 23:08:36.571919+01
1430777316.6015,dbt2,39039,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.428054+01,,2015-05-04 23:08:36.572953+01,f,COMMIT,idle,2015-05-04 23:08:36.578349+01
1430777316.6015,dbt2,39041,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.528229+01,2015-05-04 23:08:36.573817+01,2015-05-04 23:08:36.581703+01,f,COMMIT,active,2015-05-04 23:08:36.581703+01
1430777316.6015,dbt2,39043,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.628356+01,,2015-05-04 23:08:36.589888+01,f,COMMIT,idle,2015-05-04 23:08:36.601283+01
1430777316.6015,dbt2,39045,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.728427+01,,2015-05-04 23:08:36.530059+01,f,COMMIT,idle,2015-05-04 23:08:36.540492+01
1430777316.6015,dbt2,39047,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.82855+01,,2015-05-04 23:08:36.540536+01,f,COMMIT,idle,2015-05-04 23:08:36.544714+01
1430777316.6015,dbt2,39049,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.928715+01,,2015-05-04 23:08:36.545834+01,f,COMMIT,idle,2015-05-04 23:08:36.560232+01
1430777316.6015,dbt2,39051,10,mark,dbt2-client,,-1,2015-05-04 23:08:36.028877+01,,2015-05-04 23:08:36.549464+01,f,COMMIT,idle,2015-05-04 23:08:36.549516+01
1430777316.6015,dbt2,39053,10,mark,dbt2-client,,-1,2015-05-04 23:08:36.129021+01,,2015-05-04 23:08:36.562979+01,f,COMMIT,idle,2015-05-04 23:08:36.569429+01
1430777316.6015,dbt2,39055,10,mark,dbt2-client,,-1,2015-05-04 23:08:36.229189+01,,2015-05-04 23:08:36.555881+01,f,COMMIT,idle,2015-05-04 23:08:36.564793+01
1430777316.6015,dbt2,39064,10,mark,dbt2-client,,-1,2015-05-04 23:08:36.329476+01,,2015-05-04 23:08:36.567925+01,f,COMMIT,idle,2015-05-04 23:08:36.571938+01
1430777316.6015,dbt2,39160,10,mark,dbt2-client,,-1,2015-05-04 23:08:36.532068+01,,,f,"",idle,2015-05-04 23:08:36.533664+01
1430777316.6015,dbt2,39126,10,mark,dbt2-client,,-1,2015-05-04 23:08:36.437194+01,2015-05-04 23:08:36.5888+01,2015-05-04 23:08:36.590136+01,f,COMMIT,active,2015-05-04 23:08:36.590137+01
1430777316.6015,dbt2,39182,10,mark,psql,,-1,2015-05-04 23:08:36.59339+01,2015-05-04 23:08:36.595418+01,2015-05-04 23:08:36.595418+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-04 23:08:36.595423+01
1430777316.6015,dbt2,39183,10,mark,psql,,-1,2015-05-04 23:08:36.595727+01,2015-05-04 23:08:36.597394+01,2015-05-04 23:08:36.597394+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-04 23:08:36.597399+01
1430777316.6015,dbt2,39186,10,mark,psql,,-1,2015-05-04 23:08:36.599485+01,2015-05-04 23:08:36.601495+01,2015-05-04 23:08:36.601495+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-04 23:08:36.601501+01
1430777376.62714,dbt2,39037,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.328219+01,2015-05-04 23:09:36.607225+01,2015-05-04 23:09:36.609126+01,t,FETCH ALL IN mycursor,active,2015-05-04 23:09:36.609127+01
1430777376.62714,dbt2,39039,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.428054+01,2015-05-04 23:09:36.604473+01,2015-05-04 23:09:36.604657+01,t,FETCH ALL IN mycursor,active,2015-05-04 23:09:36.604657+01
1430777376.62714,dbt2,39041,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.528229+01,2015-05-04 23:09:36.565026+01,2015-05-04 23:09:36.565059+01,t,"SELECT payment(2, 4, 1016, 2, 4, '', 4889.220000)",active,2015-05-04 23:09:36.565059+01
1430777376.62714,dbt2,39043,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.628356+01,2015-05-04 23:09:36.611444+01,2015-05-04 23:09:36.611648+01,t,FETCH ALL IN mycursor,active,2015-05-04 23:09:36.611649+01
1430777376.62714,dbt2,39045,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.728427+01,2015-05-04 23:09:36.608995+01,2015-05-04 23:09:36.610606+01,f,COMMIT,active,2015-05-04 23:09:36.610606+01
1430777376.62714,dbt2,39047,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.82855+01,2015-05-04 23:09:36.589125+01,2015-05-04 23:09:36.589165+01,t,"SELECT payment(2, 5, 2046, 2, 5, '', 2546.640000)",active,2015-05-04 23:09:36.589166+01
1430777376.62714,dbt2,39049,10,mark,dbt2-client,,-1,2015-05-04 23:08:35.928715+01,2015-05-04 23:09:36.566693+01,2015-05-04 23:09:36.566726+01,t,"SELECT payment(1, 10, 504, 1, 9, '', 4705.480000)",active,2015-05-04 23:09:36.566726+01
