ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1430777316.59739,template1,0,0,0,0,0,0,0,0,0,0
1430777316.59739,template0,0,0,0,0,0,0,0,0,0,0
1430777316.59739,postgres,0,1948,4,3991,96280,876228,35457,0,0,0
1430777316.59739,dbt2,15,316,0,116159,144482,4417472,28243,1069114,813,1753
1430777376.62747,template1,0,0,0,0,0,0,0,0,0,0
1430777376.62747,template0,0,0,0,0,0,0,0,0,0,0
1430777376.62747,postgres,0,1950,4,4043,97057,877650,35877,0,0,0
1430777376.62747,dbt2,25,77378,318,162339,14513545,9692047,2559234,1535034,859789,29510
1430777436.61893,template1,0,0,0,0,0,0,0,0,0,0
1430777436.61893,template0,0,0,0,0,0,0,0,0,0,0
1430777436.61893,postgres,0,1952,4,4043,97114,878564,35888,0,0,0
1430777436.61893,dbt2,23,158952,690,177894,29353797,14924210,5356214,2031795,1796347,59226
1430777496.61958,template1,0,0,0,0,0,0,0,0,0,0
1430777496.61958,template0,0,0,0,0,0,0,0,0,0,0
1430777496.61958,postgres,0,1954,4,4043,97171,879478,35899,0,0,0
1430777496.61958,dbt2,23,239797,1040,189400,43941390,19947448,8167627,2524857,2726501,88552
1430777556.62153,template1,0,0,0,0,0,0,0,0,0,0
1430777556.62153,template0,0,0,0,0,0,0,0,0,0,0
1430777556.62153,postgres,0,1956,4,4043,97228,880392,35910,0,0,0
1430777556.62153,dbt2,23,320931,1420,202681,58658526,25013113,11006968,3019751,3661753,118178
1430777616.63762,template1,0,0,0,0,0,0,0,0,0,0
1430777616.63762,template0,0,0,0,0,0,0,0,0,0,0
1430777616.63762,postgres,0,1958,4,4043,97285,881306,35921,0,0,0
1430777616.63762,dbt2,24,400969,1767,214056,73134761,29863937,13780474,3507187,4590738,147434
1430777676.62943,template1,0,0,0,0,0,0,0,0,0,0
1430777676.62943,template0,0,0,0,0,0,0,0,0,0,0
1430777676.62943,postgres,0,1960,4,4043,97342,882220,35932,0,0,0
1430777676.62943,dbt2,22,481183,2122,225513,87627566,34929697,16574639,3994088,5508771,176210
1430777736.65577,template1,0,0,0,0,0,0,0,0,0,0
1430777736.65577,template0,0,0,0,0,0,0,0,0,0,0
1430777736.65577,postgres,0,1962,4,4043,97399,883134,35943,0,0,0
1430777736.65577,dbt2,23,562444,2485,237010,101940813,39515153,19410578,4487928,6445897,205814
1430777796.64916,template1,0,0,0,0,0,0,0,0,0,0
1430777796.64916,template0,0,0,0,0,0,0,0,0,0,0
1430777796.64916,postgres,0,1964,4,4043,97456,884048,35954,0,0,0
1430777796.64916,dbt2,24,643624,2857,248340,115481713,43686123,22228393,4978459,7377965,235149
1430777856.85141,template1,0,0,0,0,0,0,0,0,0,0
1430777856.85141,template0,0,0,0,0,0,0,0,0,0,0
1430777856.85141,postgres,0,1966,4,4043,97513,884962,35965,0,0,0
1430777856.85141,dbt2,24,723499,3247,257432,129236058,47982692,25065315,5462326,8307431,265064
1430777916.73934,template1,0,0,0,0,0,0,0,0,0,0
1430777916.73934,template0,0,0,0,0,0,0,0,0,0,0
1430777916.73934,postgres,0,1968,4,4043,97570,885876,35976,0,0,0
1430777916.73934,dbt2,23,805448,3614,263797,142991809,52209989,27971966,5959069,9252329,294998
1430777976.76983,template1,0,0,0,0,0,0,0,0,0,0
1430777976.76983,template0,0,0,0,0,0,0,0,0,0,0
1430777976.76983,postgres,0,1972,4,4097,98496,886501,36500,0,0,0
1430777976.76983,dbt2,3,27,0,1430,6685,1563,1445,100204,0,0
