# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
ECSPGSQL;60;1430777376;1233964;2877000;69.98;86896;2616312;2532152;30.49
ECSPGSQL;60;1430777436;1048840;3062124;74.49;87516;2796468;2532088;30.49
ECSPGSQL;60;1430777496;918152;3192812;77.67;88072;2924320;2531996;30.49
ECSPGSQL;60;1430777556;744900;3366064;81.88;88660;3092792;2532004;30.49
ECSPGSQL;60;1430777616;601828;3509136;85.36;89244;3232140;2531916;30.49
ECSPGSQL;60;1430777676;450648;3660316;89.04;89812;3379480;2532060;30.49
ECSPGSQL;60;1430777736;279024;3831940;93.21;90420;3546704;2531876;30.49
ECSPGSQL;60;1430777796;115848;3995116;97.18;90984;3705264;2532128;30.49
ECSPGSQL;60;1430777856;42200;4068764;98.97;87636;3779392;2532052;30.49
ECSPGSQL;60;1430777916;18276;4092688;99.56;61060;3827020;2531896;30.49
